base,j,hup_sf1,hdn_sf1,hup_sf2,hdn_sf2,hup_sf3,hdn_sf3,hup_sf4,hdn_sf4,hup_sf5,hdn_sf5,hup_sf6,hdn_sf6,hup_sf7,hdn_sf7,hup_sf8,hdn_sf8,hup_sf9,hdn_sf9,hup_sf10,hdn_sf10,hup_sf11,hdn_sf11,hup_sf12,hdn_sf12,hup_sf13,hdn_sf13,hup_sf14,hdn_sf14,hup_sf15,hdn_sf15,hup_sf16,hdn_sf16,hup_sf17,hdn_sf17,hup_sf18,hdn_sf18,hup_sf19,hdn_sf19,hup_sf20,hdn_sf20,hup_sf21,hdn_sf21,hup_sf22,hdn_sf22,hup_sf23,hdn_sf23,hup_sf24,hdn_sf24,hup_sf25,hdn_sf25,hup_sf26,hdn_sf26,hup_sf27,hdn_sf27,hup_sf28,hdn_sf28,hup_sf29,hdn_sf29,hup_sf30,hdn_sf30,hup_sf31,hdn_sf31
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,,-4.2000000000000004e-05,,-5.6000000000000006e-05,,-5.149999999999999e-05,,-5.9999999999999995e-05,,-6.75e-05,,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,,-5.6000000000000006e-05,,-5.149999999999999e-05,,-5.9999999999999995e-05,,-6.75e-05,,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,,-5.149999999999999e-05,,-5.9999999999999995e-05,,-6.75e-05,,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,,-5.9999999999999995e-05,,-6.75e-05,,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,4.362499999999998e-05,-5.9999999999999995e-05,,-6.75e-05,,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,4.362499999999998e-05,-5.9999999999999995e-05,5.2937500000000006e-05,-6.75e-05,,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,4.362499999999998e-05,-5.9999999999999995e-05,5.2937500000000006e-05,-6.75e-05,6.259375e-05,-7.65e-05,,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,4.362499999999998e-05,-5.9999999999999995e-05,5.2937500000000006e-05,-6.75e-05,6.259375e-05,-7.65e-05,7.175e-05,-8.55e-05,,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,4.362499999999998e-05,-5.9999999999999995e-05,5.2937500000000006e-05,-6.75e-05,6.259375e-05,-7.65e-05,7.175e-05,-8.55e-05,8.140624999999999e-05,-9.5e-05,,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
0.0003,-0.0006479999999999959,-1.85e-05,1.0000000000000003e-05,-2.8000000000000003e-05,1.9750000000000006e-05,-4.2000000000000004e-05,2.7374999999999984e-05,-5.6000000000000006e-05,3.549999999999998e-05,-5.149999999999999e-05,4.362499999999998e-05,-5.9999999999999995e-05,5.2937500000000006e-05,-6.75e-05,6.259375e-05,-7.65e-05,7.175e-05,-8.55e-05,8.140624999999999e-05,-9.5e-05,9.056250000000001e-05,-0.0001045,,-0.000114,,-0.00012350000000000002,,-0.00013550000000000007,,-0.00014350000000000002,,-0.0001555000000000001,,-0.0001650000000000001,,-0.00017350000000000007,,-0.00018400000000000008,,-0.00019450000000000012,,-0.00020550000000000017,,-0.00021350000000000012,,-0.00022400000000000013,,-0.00023400000000000016,,-0.0002450000000000002,,-0.0002540000000000002,,-0.00026700000000000026,,-0.0002770000000000003,,-0.00028850000000000034,,-0.0002980000000000003,,-0.00030900000000000036,
